CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","ECHO 1 DEB (METAL OBJ)","1960-009C","EARTH","TEME","UTC","SGP4","2026-03-28T13:47:28.190112","12.18377370","0.01081536","47.2135","298.8026","317.8055","41.4448","0","U","51","999","92134","0.00032785684000","-0.00000051","0.0000000000000","7977.754","118.190","1685.901","1513.336","DEBRIS","MEDIUM","US","1960-08-12","AFETR","","5104379","317441197","0 ECHO 1 DEB (METAL OBJ)","1 00051U 60009C   26087.57463183 -.00000051  00000-0  32786-3 0  9997","2 00051  47.2135 298.8026 0108154 317.8055  41.4448 12.18377370921346"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","ECHO 1 DEB (METAL OBJ)","1960-009E","EARTH","TEME","UTC","SGP4","2026-03-28T09:06:36.649440","12.17407415","0.01001323","47.2765","231.6034","196.3347","163.4204","0","U","53","999","92558","0.00119623480000","0.00000038","0.0000000000000","7981.991","118.284","1683.781","1523.930","DEBRIS","MEDIUM","US","1960-08-12","AFETR","","5104379","317441198","0 ECHO 1 DEB (METAL OBJ)","1 00053U 60009E   26087.37959085  .00000038  00000-0  11962-2 0  9994","2 00053  47.2765 231.6034 0100132 196.3347 163.4204 12.17407415925581"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T11:26:42","18 SPCS","THOR ABLE DEB (YO)","1960-002D","EARTH","TEME","UTC","SGP4","2026-03-28T04:45:42.638688","14.97701500","0.00273104","48.1618","139.1825","254.2891","105.5014","0","U","115","999","50599","0.00033944883000","0.00003805","0.0000000000000","6952.137","96.147","592.989","555.016","DEBRIS","SMALL","US","1960-04-01","AFETR","","5103506","317386624","0 THOR ABLE DEB (YO)","1 00115U 60002D   26087.19841017  .00003805  00000-0  33945-3 0  9992","2 00115  48.1618 139.1825 0027310 254.2891 105.5014 14.97701500505998"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR ABLESTAR DEB","1961-015D","EARTH","TEME","UTC","SGP4","2026-03-28T13:52:05.987712","14.27223516","0.01056321","66.7258","238.2817","315.6396","43.6272","0","U","119","999","34681","0.00029177500000","0.00000673","0.0000000000000","7179.164","100.895","876.864","725.194","DEBRIS","MEDIUM","US","1961-06-29","AFETR","","5104379","317440703","0 THOR ABLESTAR DEB","1 00119U 61015D   26087.57784708  .00000673  00000-0  29178-3 0  9999","2 00119  66.7258 238.2817 0105632 315.6396  43.6272 14.27223516346817"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR ABLESTAR DEB","1961-015E","EARTH","TEME","UTC","SGP4","2026-03-28T13:34:57.711072","14.29486178","0.01047844","66.7039","282.2778","61.3410","299.8176","0","U","120","999","33680","0.00030812302000","0.00000751","0.0000000000000","7171.586","100.735","868.598","718.304","DEBRIS","MEDIUM","US","1961-06-29","AFETR","","5104379","317441203","0 THOR ABLESTAR DEB","1 00120U 61015E   26087.56594573  .00000751  00000-0  30812-3 0  9993","2 00120  66.7039 282.2778 0104784  61.3410 299.8176 14.29486178336803"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR ABLESTAR DEB","1961-015F","EARTH","TEME","UTC","SGP4","2026-03-28T14:22:57.058464","14.00217650","0.00869080","66.7463","241.8411","59.1746","301.7853","0","U","121","999","31508","0.00006351394900","0.00000018","0.0000000000000","7271.179","102.841","956.236","829.851","DEBRIS","MEDIUM","US","1961-06-29","AFETR","","5104379","317440704","0 THOR ABLESTAR DEB","1 00121U 61015F   26087.59927151  .00000018  00000-0  63514-4 0  9991","2 00121  66.7463 241.8411 0086908  59.1746 301.7853 14.00217650315082"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T16:36:19","18 SPCS","THOR ABLESTAR DEB","1961-015G","EARTH","TEME","UTC","SGP4","2026-03-28T06:26:12.707232","14.99680116","0.00455180","66.7406","59.6050","269.0997","90.4922","0","U","122","999","38213","0.00113530000000","0.00014237","0.0000000000000","6946.021","96.020","599.503","536.269","DEBRIS","MEDIUM","US","1961-06-29","AFETR","","5103523","317419928","0 THOR ABLESTAR DEB","1   122U 61015G   26087.26820263  .00014237  00000-0  11353-2 0  9992","2   122  66.7406  59.6050 0045518 269.0997  90.4922 14.99680116382134"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR ABLESTAR DEB","1961-015H","EARTH","TEME","UTC","SGP4","2026-03-28T13:51:47.004768","14.41596347","0.01132111","66.6850","282.9700","325.5246","33.8549","0","U","123","999","36791","0.00019211799000","0.00000580","0.0000000000000","7131.366","99.889","833.966","672.496","DEBRIS","MEDIUM","US","1961-06-29","AFETR","","5104379","317440705","0 THOR ABLESTAR DEB","1 00123U 61015H   26087.57762737  .00000580  00000-0  19212-3 0  9997","2 00123  66.6850 282.9700 0113211 325.5246  33.8549 14.41596347367915"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR ABLESTAR DEB","1961-015J","EARTH","TEME","UTC","SGP4","2026-03-28T09:53:37.514400","14.35882916","0.00703790","66.5422","98.2855","194.4543","165.4546","0","U","124","999","34733","0.00036169651000","0.00000992","0.0000000000000","7150.271","100.287","822.459","721.813","DEBRIS","SMALL","US","1961-06-29","AFETR","","5104379","317441205","0 THOR ABLESTAR DEB","1 00124U 61015J   26087.41223975  .00000992  00000-0  36170-3 0  9996","2 00124  66.5422  98.2855 0070379 194.4543 165.4546 14.35882916347335"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR ABLESTAR DEB","1961-015K","EARTH","TEME","UTC","SGP4","2026-03-28T13:49:52.281120","14.07653609","0.00667371","66.8741","131.0594","126.6207","234.1045","0","U","125","999","30591","0.00036276361000","0.00000547","0.0000000000000","7245.549","102.298","915.769","819.059","DEBRIS","SMALL","US","1961-06-29","AFETR","","5104379","317440706","0 THOR ABLESTAR DEB","1 00125U 61015K   26087.57629955  .00000547  00000-0  36276-3 0  9995","2 00125  66.8741 131.0594 0066737 126.6207 234.1045 14.07653609305916"
